1M Warden,N50 41.48,W01 33.55
6C Warner,N50 43.87,W01 03.99
3V WestBramble,N50 47.20,W01 18.65
3Y WestKnoll,N50 47.43,W01 17.84
3A WestLepe,N50 45.24,W01 24.09
6E WestPrincessa,N50 40.16,W01 03.65
4P WestRydeMiddle,N50 46.48,W01 15.79
7D WestonShelf,N50 52.71,W01 23.26
4J WightVodka,N50 48.63,W01 16.65
4L William,N50 49.03,W01 16.49
3W WilliamsShipping,N50 47.20,W01 18.55
6L Winner,N50 45.10,W01 00.10
winningtides,N50 45.626,W01 19.25
