8L,N50 48.28,W01 16.90
8M,N50 47.22,W01 16.46
8N,N50 47.70,W01 15.25
8P,N50 47.30,W01 15.25
8Q,N50 48.28,W01 15.21
8R,N50 48.64,W01 15.00
8S,N50 45.72,W01 14.95
8T,N50 46.33,W01 14.50
8U,N50 47.90,W01 14.20
8V,N50 48.28,W01 13.98
8W,N50 46.40,W01 13.58
8X,N50 47.47,W01 12.90
8Y,N50 47.00,W01 11.30
