I GIFC 1.30
U LAT LON DM
M E               WGS 84 100 +0.000000e+00 +0.000000e+00   +0   +0    +0

F ID---------------------------- Latitude   Longitude   T
W 31 SouthBramble                 50.783000   -1.295333 I
W 4Q SouthCoastSailing            50.807667   -1.262000 I
W 45 SouthEastRydeMiddle          50.765500   -1.201500 I
W 4Z SouthRydeMiddle              50.768833   -1.236000 I
W 1G SouthWestShingles            50.655833   -1.623167 I
W 74 Sposa                        50.827667   -1.293167 I
W 6G StHelens                     50.722667   -1.040167 I
W 4C StormforceCoaching           50.820167   -1.291000 I
W 4U SunsailRacing                50.773833   -1.251500 I
W 3Z TrinityHouseBuoy             50.771833   -1.295833 I
W 4W UniversalMarina              50.788833   -1.243167 I
W 5P VailWilliams                 50.775167   -1.099667 I
W 1M Warden                       50.691333   -1.559167 I
W 6C Warner                       50.731167   -1.066500 I
W 3V WestBramble                  50.786667   -1.310833 I
W 3Y WestKnoll                    50.790500   -1.297333 I
W 3A WestLepe                     50.754000   -1.401500 I
W 6E WestPrincessa                50.669333   -1.060833 I
W 4P WestRydeMiddle               50.774667   -1.263167 I
W 7D WestonShelf                  50.878500   -1.387667 I
W 4J WightVodka                   50.810500   -1.277500 I
W 4L William                      50.817167   -1.274833 I
W 3W WilliamsShipping             50.786667   -1.309167 I
W 6L Winner                       50.751667   -1.001667 I
W winningtides                    50.760433   -1.320833 I
